timestamp,method,weather,rep,bias_offset,samples_used
2026-05-11T17:12:17,yolo,rain,1,0.010446,85
2026-05-11T17:13:40,yolo,clear,1,0.010390,84
2026-05-11T17:15:00,yolo,fog,1,0.010531,92
2026-05-11T17:16:18,yolo,night,1,0.011563,96
2026-05-11T17:17:49,pure_vision,rain,1,0.006571,73
2026-05-11T17:19:00,pure_vision,clear,1,0.009130,92
2026-05-11T17:20:09,pure_vision,fog,1,0.008497,95
2026-05-11T17:21:15,pure_vision,night,1,0.010610,102
2026-05-11T17:22:39,scnn,rain,1,0.012139,58
2026-05-11T17:24:06,scnn,clear,1,0.011822,77
2026-05-11T17:25:31,scnn,fog,1,0.011654,80
2026-05-11T17:26:54,scnn,night,1,0.012647,85
2026-05-11T17:28:33,yolo,rain,2,0.010453,69
2026-05-11T17:29:55,yolo,clear,2,0.010405,89
2026-05-11T17:31:15,yolo,fog,2,0.010531,90
2026-05-11T17:32:33,yolo,night,2,0.011554,94
2026-05-11T17:34:05,pure_vision,rain,2,0.006845,73
2026-05-11T17:35:16,pure_vision,clear,2,0.009603,93
2026-05-11T17:36:25,pure_vision,fog,2,0.008398,95
2026-05-11T17:37:32,pure_vision,night,2,0.010800,102
2026-05-11T17:38:55,scnn,rain,2,0.012147,58
2026-05-11T17:40:22,scnn,clear,2,0.011852,76
2026-05-11T17:41:49,scnn,fog,2,0.011655,80
2026-05-11T17:43:11,scnn,night,2,0.012650,83
2026-05-11T17:44:52,yolo,rain,3,0.010459,70
2026-05-11T17:46:11,yolo,clear,3,0.010377,93
2026-05-11T17:47:29,yolo,fog,3,0.010534,94
2026-05-11T17:48:46,yolo,night,3,0.011546,95
2026-05-11T17:50:14,pure_vision,rain,3,0.006208,74
2026-05-11T17:51:25,pure_vision,clear,3,0.008085,94
2026-05-11T17:52:33,pure_vision,fog,3,0.008562,98
2026-05-11T17:53:39,pure_vision,night,3,0.010916,103
2026-05-11T17:55:01,scnn,rain,3,0.012144,59
2026-05-11T17:56:28,scnn,clear,3,0.011866,78
2026-05-11T17:57:53,scnn,fog,3,0.011657,81
2026-05-11T17:59:14,scnn,night,3,0.012651,86
